,cM10a,cM12a,cM19a,cM20a,cM2a,cM34a,cM35a,cM3a,cM41a,cM42a,cM42b,cM44b,cM59a,cM59b,cM5a,cM7b,cM8a,cM9b,cS100a,cS103a,cS104a,cS107a,cS108a,cS109a,cS10a,cS113a,cS115a,cS116a,cS11a,cS129a,cS132a,cS142a,cS153a,cS157a,cS15a,cS162a,cS164a,cS165a,cS168a,cS172a,cS178a,cS184a,cS27b,cS28a,cS30a,cS33a,cS35a,cS37a,cS39c,cS45a,cS46a,cS4a,cS51a,cS53a,cS58a,cS60a,cS61a,cS63a,cS65a,cS66a,cS68a,cS6a,cS71a,cS71b,cS72c,cS76a,cS80a,cS83a,cS86a,cS86b,cS87a,cS88a,cS8b,cS91a,cS97a,cS99a,fM10a,fM16a,fM19a,fM21a,fM23b,fM24a,fM27b,fM29a,fM30a,fM31a,fM35a,fM40a,fM41b,fM48a,fM51a,fM54a,fM59a,fM60a,fS100a,fS101a,fS102a,fS10a,fS111a,fS117a,fS11a,fS121a,fS122a,fS128a,fS12a,fS133b,fS139a,fS13a,fS143a,fS144a,fS146a,fS148a,fS149a,fS14a,fS155a,fS157a,fS158a,fS159a,fS165a,fS170a,fS171a,fS174a,fS177a,fS190a,fS191a,fS24a,fS25a,fS34a,fS35a,fS37a,fS39a,fS41a,fS42a,fS46a,fS4a,fS50a,fS54a,fS56a,fS58a,fS62a,fS63b,fS64a,fS6a,fS70a,fS72b,fS73a,fS74a,fS79a,fS80a,fS81a,fS83a,fS84a,fS85a,fS86a,fS92a,fS93a,fS95a,fS97a,fS99a
cS53a,76613,76840,76836,76841,76837,77297,33307,76854,67406,67409,77297,76833,77210,76837,76866,76841,77287,77295,76519,165,75,77202,76993,76966,77215,77619,77211,69048,77217,76990,76700,76881,77501,76851,153,76697,76994,69042,7868,76715,76702,77214,77220,76833,77223,77224,8237,77035,76798,7885,77297,77293,76696,0,76519,76797,39,62,76804,76803,76803,76866,76520,77306,76705,76791,7875,76700,34444,7354,76844,76833,76868,7882,76866,77624,76754,76698,77211,77217,76837,77508,77274,76609,69063,76741,77207,7867,7896,77208,77218,76836,77277,77278,76016,78090,68059,77570,77162,147,77564,76799,67151,76873,77557,76913,76835,77569,76795,76881,76882,77045,76829,76012,76015,77031,77298,77298,77020,77034,77025,76020,76027,77089,77079,77019,76019,76891,76769,77551,77555,77555,77147,77560,76880,77094,77085,77588,77033,77570,77559,77567,76821,76890,77090,77071,77554,77088,76010,77084,160,77584,9024,9020,70,77574,76013,77557,77565
cS58a,36227,19250,19256,19260,19248,8588,77711,19258,68294,68287,8588,19254,7935,19246,19264,19249,8578,8586,0,76509,76503,35453,36454,36435,7942,24279,35465,67910,7948,36450,65422,36287,65827,36262,76515,65421,36453,67888,76571,65431,65436,35481,35464,19254,35466,35471,76770,34219,14107,76605,20486,24011,65413,76519,0,14092,76504,76505,14099,14100,14100,36273,1,20510,65420,14098,76580,65418,76610,76841,19266,19240,36279,76586,36270,24275,7536,65422,35463,7942,19246,22938,13076,36855,67913,19035,35446,76573,76582,35462,35477,19243,13069,13080,21134,65647,69715,65144,18988,76510,65136,36279,66737,64785,65154,36652,8409,65150,36274,36292,36279,18685,8399,21126,21115,36695,8589,8589,36691,36686,36692,21124,21139,6168,37047,36474,21123,36297,19181,65134,65142,65145,18984,65131,36294,37047,37056,37329,36697,65146,65137,65150,8391,36291,37072,37042,65151,37046,21120,37056,76515,37327,75638,75616,76504,65140,21125,65133,65127
cS60a,32428,24151,24157,24160,24149,17033,77979,24158,69263,69248,17033,24155,13234,24145,24163,24150,17023,17031,14092,76787,76785,32518,31948,31926,13241,28122,32530,68105,13250,31941,66004,32225,66166,32197,76791,66003,31944,68085,76932,66015,66020,32546,32525,24155,32529,32526,77090,32389,20,76963,24570,27393,65995,76797,14092,0,76782,76781,14,13,13,32206,14093,24594,66004,6,76939,66000,77010,77185,24166,24139,32215,76946,32208,28110,13855,66004,32526,13241,24147,27993,20843,32397,68107,21621,32510,76933,76934,32527,32542,24144,20832,20839,25524,65522,70265,65338,21389,76786,65330,31389,68026,65193,65348,32185,14228,65344,31382,32227,32214,21374,14215,25513,25502,32163,17033,17033,32159,32152,32160,25514,25526,11348,32826,31968,25513,32235,22032,65328,65334,65339,21387,65325,32229,32826,32835,33990,32165,65340,65331,65344,14207,32229,32851,32821,65345,32815,25507,32825,76793,33988,76390,76366,76782,65334,25512,65327,65321
cS61a,76599,76825,76833,76838,76822,77282,33308,76839,67403,67406,77282,76830,77195,76834,76851,76826,77272,77280,76504,150,60,77188,76978,76964,77200,77616,77197,69029,77202,76975,76685,76866,77488,76848,154,76682,76979,69010,7851,76712,76687,77211,77206,76830,77209,77210,8226,77020,76795,7882,77282,77279,76693,39,76504,76782,0,51,76789,76788,76788,76851,76505,77291,76690,76788,7844,76685,34417,7339,76841,76830,76853,7855,76851,77610,76739,76683,77208,77202,76822,77494,77259,76594,69044,76726,77193,7850,7861,77194,77204,76821,77262,77263,76001,78077,68056,77567,77147,144,77549,76784,67132,76858,77554,76911,76820,77554,76780,76878,76867,77030,76814,75997,76000,77016,77283,77283,77005,77019,77010,76005,76012,77074,77077,77004,76004,76876,76754,77536,77552,77552,77132,77545,76877,77080,77082,77574,77018,77555,77544,77564,76806,76875,77088,77069,77551,77074,75995,77070,157,77570,9007,8991,39,77559,75998,77542,77550
cS63a,76614,76840,76848,76853,76837,77283,33298,76840,67416,67405,77283,76845,77194,76835,76852,76841,77273,77281,76505,141,61,77203,76986,76965,77199,77631,77212,69030,77208,76976,76691,76874,77489,76849,153,76688,76980,69024,7890,76718,76693,77226,77207,76845,77210,77211,8231,77023,76801,7871,77295,77294,76699,62,76505,76781,51,0,76795,76794,76794,76852,76506,77304,76696,76787,7857,76691,34434,7350,76856,76831,76861,7876,76859,77625,76752,76689,77209,77201,76837,77509,77272,76609,69045,76727,77194,7885,7890,77209,77219,76836,77261,77276,76007,78082,68059,77573,77148,147,77555,76787,67145,76864,77560,76912,76826,77560,76783,76879,76868,77045,76813,75996,75999,77031,77284,77284,77020,77020,77025,76011,76011,77073,77080,77012,76010,76884,76755,77542,77558,77558,77147,77551,76878,77083,77085,77582,77033,77561,77550,77570,76805,76883,77091,77072,77557,77077,75994,77073,148,77578,9012,9002,78,77565,75997,77548,77556
cS65a,32425,24154,24160,24163,24152,17040,77989,24168,69264,69256,17040,24158,13245,24155,24173,24153,17030,17038,14099,76794,76799,32515,31936,31932,13252,28119,32527,68116,13243,31947,66007,32211,66175,32201,76805,66006,31950,68096,76939,66018,66023,32543,32537,24158,32533,32530,77104,32392,8,76977,24573,27398,65998,76804,14099,14,76789,76795,0,1,1,32218,14100,24597,66007,20,76953,66003,77017,77192,24169,24149,32209,76960,32194,28107,13858,66007,32530,13252,24150,27996,20840,32394,68118,21625,32514,76940,76941,32524,32539,24147,20844,20836,25516,65531,70270,65341,21393,76800,65333,31392,68027,65196,65351,32199,14221,65347,31385,32231,32218,21371,14226,25523,25512,32162,17040,17040,32158,32158,32159,25506,25536,11358,32827,31956,25505,32221,22036,65331,65345,65342,21384,65328,32233,32827,32836,33984,32164,65343,65334,65347,14218,32215,32852,32822,65348,32824,25517,32834,76800,33982,76397,76380,76789,65337,25522,65330,65324
cS66a,32426,24155,24161,24164,24153,17041,77988,24169,69263,69255,17041,24159,13246,24156,24174,24154,17031,17039,14100,76793,76798,32516,31935,31931,13253,28120,32528,68115,13244,31946,66006,32212,66176,32202,76804,66005,31949,68095,76938,66017,66022,32544,32538,24159,32534,32531,77103,32391,7,76976,24574,27399,65997,76803,14100,13,76788,76794,1,0,0,32219,14101,24598,66006,19,76952,66002,77016,77191,24170,24150,32210,76959,32195,28108,13859,66006,32531,13253,24151,27997,20841,32395,68117,21626,32515,76939,76940,32525,32540,24148,20845,20837,25517,65532,70269,65340,21394,76799,65332,31391,68026,65195,65350,32198,14222,65346,31384,32232,32219,21372,14227,25524,25513,32161,17041,17041,32157,32157,32158,25507,25537,11359,32828,31955,25506,32222,22037,65330,65344,65341,21385,65327,32234,32828,32837,33985,32163,65342,65333,65346,14219,32216,32853,32823,65347,32825,25518,32835,76799,33983,76396,76379,76788,65336,25523,65329,65323
cS68a,32426,24155,24161,24164,24153,17041,77988,24169,69263,69255,17041,24159,13246,24156,24174,24154,17031,17039,14100,76793,76798,32516,31935,31931,13253,28120,32528,68115,13244,31946,66006,32212,66176,32202,76804,66005,31949,68095,76938,66017,66022,32544,32538,24159,32534,32531,77103,32391,7,76976,24574,27399,65997,76803,14100,13,76788,76794,1,0,0,32219,14101,24598,66006,19,76952,66002,77016,77191,24170,24150,32210,76959,32195,28108,13859,66006,32531,13253,24151,27997,20841,32395,68117,21626,32515,76939,76940,32525,32540,24148,20845,20837,25517,65532,70269,65340,21394,76799,65332,31391,68026,65195,65350,32198,14222,65346,31384,32232,32219,21372,14227,25524,25513,32161,17041,17041,32157,32157,32158,25507,25537,11359,32828,31955,25506,32222,22037,65330,65344,65341,21385,65327,32234,32828,32837,33985,32163,65342,65333,65346,14219,32216,32853,32823,65347,32825,25518,32835,76799,33983,76396,76379,76788,65336,25523,65329,65323
cS6a,19865,35441,35457,35461,35439,36129,77886,35448,68470,68451,36129,35445,36703,35435,35454,35450,36135,36127,36273,76858,76848,20084,18625,18622,36710,35321,20070,67299,36719,18600,65582,51,66101,63,76860,65586,18611,67267,77337,65592,65595,20095,20089,35445,20086,20092,77493,20668,32226,77366,36337,35498,65571,76866,36273,32206,76851,76852,32218,32219,32219,0,36274,36353,65578,32212,77344,65586,76572,77585,35457,35439,23,77353,80,35306,36494,65587,20084,36710,35435,35890,36139,19350,67292,42865,20083,77338,77339,20083,20085,35442,36128,36135,36600,65018,69863,64937,42645,76855,64941,19361,67536,64498,64945,19989,36563,64941,19395,73,70,42614,36550,36589,36578,17903,36129,36129,17921,17892,17896,36590,36602,36042,19992,18649,36589,80,42835,64942,64938,64936,42643,64939,85,19982,19992,20817,17891,64937,64928,64941,36542,85,20003,19999,64942,19982,36593,19983,76860,20805,76977,76953,76851,64932,36588,64941,64918
cS71a,36228,19251,19257,19261,19249,8589,77712,19259,68295,68288,8589,19255,7936,19247,19265,19250,8579,8587,1,76510,76504,35454,36455,36436,7943,24280,35466,67911,7949,36451,65423,36288,65828,36263,76516,65422,36454,67889,76572,65432,65437,35482,35465,19255,35467,35472,76771,34220,14108,76606,20487,24012,65414,76520,1,14093,76505,76506,14100,14101,14101,36274,0,20511,65421,14099,76581,65419,76611,76842,19267,19241,36280,76587,36271,24276,7537,65423,35464,7943,19247,22939,13077,36856,67914,19036,35447,76574,76583,35463,35478,19244,13070,13081,21135,65648,69716,65145,18989,76511,65137,36280,66738,64786,65155,36653,8410,65151,36275,36293,36280,18686,8400,21127,21116,36696,8590,8590,36692,36687,36693,21125,21140,6169,37048,36475,21124,36298,19182,65135,65143,65146,18985,65132,36295,37048,37057,37330,36698,65147,65138,65151,8392,36292,37073,37043,65152,37047,21121,37057,76516,37328,75639,75617,76505,65141,21126,65134,65128
cS71b,36682,17986,18002,18006,17984,20412,78197,18006,69015,69010,20412,17990,21071,17994,18012,17995,20402,20410,20510,77298,77302,36468,36329,36314,21080,25331,36470,68458,21082,36319,65987,36363,66351,36342,77314,65986,36322,68430,77288,65996,65987,36486,36483,17990,36483,36498,77520,35167,24605,77333,59,26145,65978,77306,20510,24594,77291,77304,24597,24598,24598,36353,20511,0,65985,24600,77307,65979,76733,77567,18009,17998,36355,77314,36356,25327,21470,65973,36489,21078,17982,25727,20098,36923,68463,30963,36465,77289,77298,36466,36491,17989,20103,20102,9222,66054,70343,64968,30368,77309,64958,36238,67956,64779,64964,36256,21303,64960,36233,36372,36369,30969,21297,9218,9221,36223,20413,20413,36219,36226,36230,9226,9231,19485,36655,36337,9225,36373,31209,64954,64966,64955,30353,64965,36384,36665,36674,37513,36225,64970,64947,64974,21289,36367,36680,36660,64961,36654,9222,36664,77302,37501,76603,76593,77291,64964,9217,64953,64951
cS72c,65716,65579,65594,65599,65575,65448,76424,65587,58944,58927,65448,65595,65853,65575,65592,65587,65438,65446,65420,76698,76701,65597,65475,65468,65860,66013,65597,59604,65866,65459,26,65576,46797,65551,76714,23,65464,59572,77103,37,29,65614,65604,65583,65602,65617,76370,65379,66013,77138,65967,66352,38,76705,65420,66004,76690,76696,66007,66006,66006,65578,65421,65985,0,66010,77100,45,75229,77251,65607,65591,65572,77108,65567,66007,65719,77,65606,65860,65583,66293,65492,66142,59597,59722,65582,77105,77114,65597,65621,65590,65491,65496,66044,43958,59687,4765,59839,76708,4765,65640,58970,5214,4753,66014,65521,4748,65635,65580,65577,59876,65511,66036,66026,65449,65449,65449,65438,65440,65463,66036,66051,65828,65641,65505,66035,65592,59759,4769,4761,4753,59834,4762,65592,65649,65651,65343,65463,4756,4762,4748,65515,65577,65659,65638,4752,65647,66042,65647,76709,65330,76912,76894,76699,4739,66037,4771,4751
cS76a,32434,24157,24151,24154,24155,17039,77973,24164,69269,69254,17039,24149,13240,24139,24169,24156,17029,17037,14098,76793,76779,32524,31954,31932,13247,28128,32536,68111,13256,31947,66010,32231,66172,32191,76785,66009,31950,68091,76938,66009,66026,32552,32531,24149,32535,32532,77096,32395,14,76957,24576,27399,65989,76791,14098,6,76788,76787,20,19,19,32212,14099,24600,66010,0,76945,66006,77016,77191,24160,24133,32221,76952,32214,28116,13861,66010,32532,13247,24153,27999,20849,32403,68113,21627,32516,76939,76940,32533,32548,24150,20838,20845,25530,65528,70271,65332,21395,76780,65336,31395,68032,65199,65342,32191,14234,65350,31388,32221,32220,21380,14221,25519,25508,32169,17039,17039,32165,32158,32166,25520,25532,11354,32820,31974,25519,32241,22038,65334,65328,65333,21393,65331,32223,32832,32841,33996,32171,65346,65337,65338,14213,32235,32845,32815,65339,32821,25513,32831,76787,33994,76396,76372,76788,65340,25518,65333,65327
cS80a,77508,77127,77135,77140,77124,77582,33284,77127,67982,67971,77582,77132,77237,77122,77139,77128,77572,77580,76580,7868,7858,77648,77625,77604,77242,77716,77657,68967,77251,77615,77095,77366,77386,77341,7870,77092,77619,68961,33,77122,77097,77671,77652,77132,77655,77656,921,77840,76959,148,77296,77507,77103,7875,76580,76939,7844,7857,76953,76952,76952,77344,76581,77307,77100,76945,0,77095,34513,691,77143,77118,77353,29,77351,77710,77092,77091,77654,77244,77124,77817,77349,77011,68980,77061,77639,140,153,77654,77664,77123,77338,77353,76378,77874,67728,77394,77510,7870,77376,77210,68087,77229,77381,77344,77043,77381,77206,77371,77360,77371,77030,76367,76370,77593,77583,77583,77582,77582,77587,76382,76382,77150,77730,77653,76381,77376,77132,77363,77379,77379,77509,77372,77370,77733,77735,77570,77595,77382,77371,77391,77022,77375,77741,77722,77378,77727,76365,77723,7885,77566,1555,1525,7859,77386,76368,77369,77377
cS83a,65721,65585,65588,65593,65581,65444,76407,65593,58931,58926,65444,65601,65849,65581,65598,65581,65434,65442,65418,76693,76684,65592,65469,65462,65856,65998,65604,59573,65862,65465,33,65574,46791,65559,76697,48,65470,59567,77086,34,38,65611,65601,65589,65599,65602,76365,65389,66009,77121,65963,66349,33,76700,65418,66000,76685,76691,66003,66002,66002,65586,65419,65979,45,66006,77095,0,75216,77234,65613,65585,65580,77103,65553,65992,65715,58,65591,65856,65589,66290,65488,66152,59598,59718,65579,77088,77097,65604,65606,65584,65487,65492,66036,43968,59688,4746,59835,76691,4742,65648,58955,5207,4760,66020,65519,4741,65643,65588,65573,59872,65509,66028,66032,65455,65445,65445,65451,65446,65464,66042,66043,65824,65636,65511,66041,65590,59755,4745,4759,4748,59830,4752,65578,65632,65641,65326,65469,4745,4739,4758,65513,65585,65661,65638,4754,65642,66022,65659,76692,65335,76907,76889,76682,4760,66029,4740,4756
cS86a,76432,76700,76707,76712,76698,76880,26532,76713,66519,66524,76881,76704,77191,76708,76727,76700,76871,76879,76610,34434,34421,76501,76870,76856,77198,77045,76507,67519,77200,76864,75225,76588,76250,76567,34439,75221,76871,67495,34508,75243,75227,76522,76517,76704,76523,76524,34831,76953,77023,34547,76722,77355,75221,34444,76610,77010,34417,34434,77017,77016,77016,76572,76611,76733,75229,77016,34513,75216,0,34388,76715,76704,76574,34525,76573,77039,76964,75211,76519,77198,76694,76845,76510,76540,67531,76023,76514,34509,34504,76507,76515,76693,76513,76514,75854,76477,66055,75802,76178,34422,75780,76660,66809,75689,75784,76826,77003,75787,76658,76597,76586,76323,76997,75850,75851,76913,76882,76882,76909,76916,76914,75856,75863,76875,76892,76894,75855,76598,76006,75774,75790,75782,76165,75783,76599,76890,76899,76792,76915,75789,75775,75802,76989,76594,76907,76888,75788,76889,75846,76888,34426,76787,35273,35261,34420,75789,75849,75773,75780
cS86b,77713,77380,77388,77393,77377,77850,33112,77394,67500,67509,77850,77385,77472,77389,77406,77381,77840,77848,76841,7361,7341,77853,77863,77849,77477,78004,77862,69028,77479,77860,77246,77600,77520,77582,7353,77243,77864,69035,686,77261,77248,77876,77871,77385,77874,77875,1021,78106,77198,699,77556,77795,77242,7354,76841,77185,7339,7350,77192,77191,77191,77585,76842,77567,77251,77191,691,77234,34388,0,77396,77385,77587,696,77585,77998,77313,77230,77873,77479,77377,78104,77604,77248,69041,77326,77858,691,696,77859,77869,77376,77607,77608,76643,77984,67776,77533,77780,7343,77515,77459,68158,77376,77520,77613,77306,77520,77455,77612,77601,77622,77300,76639,76642,77824,77851,77851,77820,77827,77825,76647,76654,77425,77948,77891,76646,77610,77397,77509,77525,77518,77765,77518,77611,77951,77960,77834,77826,77521,77510,77537,77292,77609,77966,77947,77524,77945,76637,77948,7356,77830,1832,1828,7342,77525,76640,77508,77516
cS87a,36225,47,65,45,61,19758,77977,83,68309,68305,19758,35,21064,59,66,74,19748,19756,19266,76848,76841,35903,35520,35505,21071,24024,35905,68223,21073,35510,65610,35465,65853,35434,76850,65609,35513,68197,77122,65604,65624,35921,35918,53,35918,35926,77321,34552,24165,77155,17995,24310,65588,76844,19266,24166,76841,76856,24169,24170,24170,35457,19267,18009,65607,24160,77143,65613,76715,77396,0,39,35459,77153,35458,24012,20749,65610,35924,21071,57,24417,19047,36195,68218,29929,35900,77122,77123,35901,35927,64,19052,19043,19604,65765,69882,64668,29647,76847,64684,35235,67147,64404,64681,35442,20390,64686,35232,35464,35473,29942,20384,19600,19589,35613,19759,19759,35609,35616,35620,19594,19613,19138,36266,35548,19593,35475,29987,64682,64668,64671,29631,64679,35474,36288,36297,37044,35615,64683,64675,64676,20376,35471,36292,36271,64677,36269,19604,36280,76840,37032,76403,76395,76841,64678,19599,64681,64665
cS88a,36221,52,46,48,50,19732,77954,62,68294,68288,19732,44,21036,34,67,51,19722,19730,19240,76837,76816,35887,35497,35475,21043,24008,35901,68196,21052,35492,65594,35454,65818,35416,76825,65593,35495,68182,77111,65588,65608,35917,35900,46,35900,35896,77296,34536,24145,77130,17972,24306,65572,76833,19240,24139,76830,76831,24149,24150,24150,35439,19241,17998,65591,24133,77118,65585,76704,77385,39,0,35448,77128,35435,23996,20735,65594,35894,21043,50,24413,19033,36191,68203,29901,35882,77111,77112,35897,35911,45,19024,19029,19586,65749,69867,64652,29619,76822,64656,35219,67144,64388,64665,35424,20369,64670,35216,35446,35443,29929,20356,19575,19564,35609,19733,19733,35605,35598,35604,19576,19588,19110,36250,35537,19575,35464,29959,64654,64652,64655,29617,64651,35444,36260,36269,37021,35611,64667,64659,64660,20348,35460,36276,36243,64661,36253,19567,36264,76829,37021,76392,76370,76830,64662,19574,64653,64649
cS8b,19881,35431,35447,35451,35429,36135,77894,35445,68472,68460,36135,35447,36710,35432,35451,35440,36141,36133,36279,76860,76857,20086,18604,18631,36717,35311,20086,67305,36708,18597,65576,44,66107,60,76869,65580,18608,67273,77339,65586,65589,20097,20098,35435,20095,20101,77502,20662,32217,77375,36339,35488,65577,76868,36279,32215,76853,76861,32209,32210,32210,23,36280,36355,65572,32221,77353,65580,76574,77587,35459,35448,0,77362,57,35296,36494,65581,20093,36717,35437,35906,36141,19350,67298,42874,20092,77340,77341,20085,20101,35444,36137,36137,36591,65024,69869,64931,42654,76864,64947,19379,67538,64492,64939,19996,36542,64935,19399,68,65,42616,36547,36598,36587,17893,36135,36135,17911,17889,17912,36581,36611,36051,19996,18628,36580,71,42842,64948,64932,64930,42645,64945,80,20000,20010,20806,17907,64931,64934,64935,36551,62,20021,20003,64936,19986,36602,19987,76862,20794,76979,76962,76853,64926,36597,64947,64924
cS91a,77516,77137,77145,77150,77134,77589,33293,77137,67988,67977,77583,77142,77244,77132,77149,77138,77579,77587,76586,7891,7865,77655,77634,77613,77249,77723,77664,68971,77258,77624,77103,77375,77396,77350,7877,77100,77628,68971,38,77130,77105,77678,77659,77142,77662,77663,922,77849,76966,159,77303,77514,77111,7882,76586,76946,7855,7876,76960,76959,76959,77353,76587,77314,77108,76952,29,77103,34525,696,77153,77128,77362,0,77360,77717,77099,77099,77661,77251,77134,77823,77355,77018,68990,77067,77646,141,154,77661,77671,77133,77344,77359,76384,77885,67733,77402,77516,7869,77384,77217,68099,77237,77389,77351,77044,77389,77213,77380,77369,77377,77037,76373,76376,77602,77590,77590,77591,77591,77596,76388,76388,77157,77738,77662,76387,77385,77138,77371,77387,77387,77515,77380,77379,77741,77743,77578,77604,77390,77379,77399,77029,77384,77749,77730,77386,77735,76371,77731,7896,77574,1572,1538,7870,77394,76374,77377,77385
cS97a,19890,35430,35434,35438,35428,36140,77885,35444,68453,68453,36140,35446,36702,35431,35450,35427,36130,36138,36270,76858,76855,20083,18601,18612,36709,35308,20095,67286,36700,18606,65571,45,66096,55,76867,65575,18617,67276,77337,65571,65584,20106,20099,35434,20104,20098,77500,20671,32202,77373,36328,35505,65572,76866,36270,32208,76851,76859,32194,32195,32195,80,36271,36356,65567,32214,77351,65553,76573,77585,35458,35435,57,77360,0,35293,36485,65576,20090,36709,35436,35921,36126,19359,67301,42859,20085,77338,77339,20094,20098,35431,36130,36122,36594,65027,69864,64916,42639,76862,64930,19390,67531,64487,64934,20013,36534,64920,19394,85,70,42601,36539,36601,36590,17902,36140,36140,17904,17898,17909,36584,36614,36042,20005,18637,36583,72,42827,64931,64935,64925,42630,64928,75,19997,20007,20811,17916,64916,64929,64930,36543,73,20030,20000,64931,20003,36593,20004,76860,20811,76977,76960,76851,64921,36600,64930,64919
cS99a,35482,23984,23988,23992,23982,23875,78511,24005,68684,68694,23875,24000,25734,23992,24010,23981,23881,23873,24275,77618,77621,35405,35339,35353,25741,17,35425,68605,25743,35341,66001,35296,66330,35293,77632,66009,35344,68587,77689,66007,66015,35427,35443,23988,35423,35417,77936,34608,28115,77736,25299,5442,66003,77624,24275,28110,77610,77625,28107,28108,28108,35306,24276,25327,66007,28116,77710,65992,77039,77998,24012,23996,35296,77717,35293,0,25572,66001,35419,25741,23992,8418,24863,36274,68611,34228,35421,77692,77691,35416,35421,23987,24874,24857,26115,65994,70274,65227,33621,77629,65231,35444,67673,65008,65249,35612,24104,65242,35464,35307,35292,33589,24098,26111,26100,35758,23876,23876,35776,35761,35765,26105,26124,24263,36064,35351,26104,35306,34370,65229,65233,65239,33605,65226,35305,36062,36072,36996,35772,65230,65234,65235,24102,35302,36090,36066,65245,36059,26103,36079,77622,37005,76918,76908,77610,65234,26110,65228,65233
fM10a,36214,20733,20739,20743,20731,11134,78003,20753,69082,69087,11134,20737,1302,20741,20759,20732,11124,11132,7536,76744,76750,35875,36675,36660,1303,25576,35887,68369,1305,36675,65719,36504,65903,36483,76762,65718,36678,68347,77071,65730,65735,35903,35898,20737,35900,35905,77241,34867,13866,77117,21444,25000,65710,76754,7536,13855,76739,76752,13858,13859,13859,36494,7537,21470,65719,13861,77092,65715,76964,77313,20749,20735,36494,77099,36485,25572,0,65719,35897,1309,20729,24714,14547,37094,68372,17892,35881,77073,77082,35884,35899,20726,14552,14551,22110,65906,70084,65537,18155,76757,65529,36597,67785,64909,65547,36715,8045,65543,36592,36511,36498,17399,8039,22106,22095,36695,11135,11135,36691,36698,36692,22100,22119,5694,37184,36695,22099,36512,17698,65527,65535,65538,18139,65524,36513,37184,37193,37877,36697,65539,65530,65543,8031,36506,37209,37179,65544,37183,22100,37193,76750,37875,76411,76401,76739,65533,22105,65526,65520
fM16a,65718,65582,65597,65602,65578,65450,76403,65579,58936,58919,65450,65598,65853,65578,65595,65590,65440,65448,65422,76691,76682,65601,65477,65470,65860,66007,65601,59586,65866,65461,57,65585,46797,65560,76695,64,65466,59554,77082,80,58,65608,65598,65586,65596,65603,76361,65392,66013,77117,65969,66346,69,76698,65422,66004,76683,76689,66007,66006,66006,65587,65423,65973,77,66010,77091,58,75211,77230,65610,65594,65581,77099,65576,66001,65719,0,65600,65860,65586,66287,65492,66149,59589,59722,65576,77084,77093,65601,65607,65593,65491,65496,66030,43959,59677,4762,59839,76689,4760,65645,58948,5207,4750,66017,65524,4757,65640,65589,65586,59876,65514,66022,66026,65451,65451,65451,65447,65442,65472,66036,66037,65828,65633,65507,66035,65593,59759,4751,4757,4750,59834,4762,65601,65641,65650,65335,65465,4745,4745,4764,65518,65586,65650,65647,4756,65639,66028,65648,76690,65332,76903,76885,76680,4762,66023,4750,4762
fM19a,6528,35908,35912,35916,35906,36208,78108,35914,68743,68748,36208,35912,35954,35902,35921,35905,36214,36206,35463,77215,77205,37,20602,20585,35961,35414,48,67488,35970,20588,65602,20093,66200,20083,77217,65608,20600,67470,77647,65609,65615,40,55,35912,42,45,77775,21393,32538,77678,36459,35656,65590,77211,35463,32526,77208,77209,32530,32531,32531,20084,35464,36489,65606,32532,77654,65591,76519,77873,35924,35894,20093,77661,20090,35419,35897,65600,0,35961,35904,34429,36229,21408,67496,41153,49,77648,77657,33,28,35899,36226,36233,37041,64958,70224,65436,40976,77212,65428,21107,67921,64868,65456,20293,37212,65449,21128,20097,20082,40702,37199,37030,37019,20459,36208,36208,20477,20448,20456,37031,37043,36826,6982,20486,37030,20103,41192,65424,65440,65446,40974,65421,20095,6971,6969,8782,20461,65437,65429,65444,37191,20099,7002,6984,65452,6988,37022,6998,77218,8791,77211,77187,77208,65442,37029,65423,65428
fM21a,36712,21055,21061,21065,21053,11206,78043,21061,69463,69454,11206,21059,17,21049,21067,21054,11196,11204,7942,77207,77199,35953,37011,36989,46,25753,35965,68444,55,37004,65860,36728,66030,36700,77211,65859,37007,68422,77237,65871,65876,35981,35961,21059,35964,35961,77393,35180,13260,77269,21052,25312,65851,77217,7942,13241,77202,77201,13252,13253,13253,36710,7943,21078,65860,13247,77244,65856,77198,77479,21071,21043,36717,77251,36709,25741,1309,65860,35961,0,21051,24893,14887,37655,68447,17823,35945,77239,77240,35962,35977,21048,14877,14883,22246,65982,70164,65611,18094,77206,65603,36949,68066,65119,65621,37171,7260,65617,36944,36728,36715,17344,7247,22235,22224,37109,11207,11207,37105,37098,37106,22236,22248,4914,37621,37031,22235,36736,17637,65601,65608,65612,18092,65598,36730,37621,37630,38243,37111,65613,65604,65617,7239,36730,37646,37616,65618,37611,22229,37621,77213,38241,76577,76553,77202,65607,22234,65600,65594
